experiment,function,param,method,trial,mse,nmse,seconds,expression
noise_sweep,quadratic,noise=0.05,GplearnSR,0,138.4215591223468,1.216020059549927,13.8,"sub(sub(exp(log(X0)), add(X0, mul(log(cos(log(add(-0.182, X0)))), log(add(add(mul(0.845, X0), X0), sqrt(add(add(X0, mul(log(cos(X0)), log(add(X0, mul(log(cos(log(add(-0.182, X0)))), sub(sub(exp(log(X0)), add(X0, mul(log(cos(log(add(-0.182, X0)))), log(add(add(mul(0.845, X0), X0), sqrt(add(sqrt(X0), log(sub(-0.182, X0))))))))), cos(sqrt(X0)))))))), log(sub(-0.182, X0))))))))), cos(sqrt(X0)))"
noise_sweep,quadratic,noise=0.05,NeuralSR,0,1.7563229458836244e-05,1.54291278525089e-07,0.0,0.5*(x - 1.0)**2 - 0.5045
noise_sweep,quadratic,noise=0.2,XiGuidedSR,0,0.0043299476751651,3.7993527554028335e-05,6.4,0.4988*x**2 - 1.005*x - 0.004822
noise_sweep,quadratic,noise=0.2,GplearnSR,0,31.979826456238065,0.2806099539278605,15.4,"sub(sqrt(add(mul(sub(sub(sub(exp(X0), log(sin(-0.675))), log(X0)), sin(sub(-0.689, X0))), -0.316), exp(add(log(div(X0, -0.214)), mul(sub(X0, -0.772), sin(-0.675)))))), cos(sqrt(mul(X0, 0.563))))"
noise_sweep,quadratic,noise=0.2,NeuralSR,0,0.0002810116595553192,2.465762875508918e-06,0.0,0.5*(x - 1.0)**2 - 0.5182
noise_sweep,product,noise=0.0,XiGuidedSR,0,0.0,0.0,6.3,1.0*x*sin(x) + 3.285e-18
noise_sweep,product,noise=0.0,GplearnSR,0,0.0,0.0,0.8,"mul(sin(X0), X0)"
noise_sweep,product,noise=0.0,NeuralSR,0,0.0,0.0,0.0,1.0*x*sin(x)
noise_sweep,product,noise=0.05,XiGuidedSR,0,5.759663039282633e-05,4.585979971024068e-06,6.0,1.002*x*sin(x) - 0.003047
noise_sweep,product,noise=0.05,GplearnSR,0,0.0,0.0,11.5,"mul(sin(X0), X0)"
noise_sweep,product,noise=0.05,NeuralSR,0,5.759663039282633e-05,4.585979971024068e-06,0.0,1.002*x*sin(x) - 0.003047
noise_sweep,product,noise=0.2,XiGuidedSR,0,0.0009215460811916734,7.300945894633369e-05,7.7,1.007*x*sin(x) - 0.01219
noise_sweep,product,noise=0.2,GplearnSR,0,0.0,0.0,11.2,"mul(sin(X0), X0)"
noise_sweep,product,noise=0.2,NeuralSR,0,0.0009215460811916734,7.300945894633369e-05,0.0,1.007*x*sin(x) - 0.01219
band_sweep,sqrt_like,band=1.0,XiGuidedSR,0,1.9637535845189685e-06,6.381430576271657e-06,5.2,0.9994*Abs(x)**0.5 + 7.024e-5
band_sweep,sqrt_like,band=1.0,GplearnSR,0,0.0,0.0,11.4,sqrt(X0)
